level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 2.4)","('lookback_window', 100)","('p-value', 0.1)",-36756.43,-7.35,-1.15,0.56,-2.06,-0.85,0.15,-3.88,-0.09,-7.64,1548.0,0.00296,-0.01,2.4,100,0.1
"('entry_threshold', 0.8)","('lookback_window', 200)","('p-value', 0.1)",-82270.98,-16.45,-2.69,1.29,-2.08,-1.87,0.15,-6.78,-0.21,-17.35,1447.0,0.00396,-0.03,0.8,200,0.1
"('entry_threshold', 1.6)","('lookback_window', 160)","('p-value', 0.1)",-45303.77,-9.06,-1.43,0.68,-2.1,-1.62,0.15,-4.93,-0.11,-9.3,1500.0,0.0029,-0.01,1.6,160,0.1
"('entry_threshold', 0.8)","('lookback_window', 140)","('p-value', 0.05)",-61430.9,-12.29,-1.97,0.91,-2.17,-2.09,0.16,-34.05,-0.15,-12.42,1515.0,0.00058,-0.02,0.8,140,0.05
"('entry_threshold', 0.8)","('lookback_window', 60)","('p-value', 0.01)",-53809.15,-10.76,-1.71,0.78,-2.18,-1.5,0.16,-133.06,-0.13,-10.82,1603.0,0.00013,-0.02,0.8,60,0.01
"('entry_threshold', 1.2)","('lookback_window', 160)","('p-value', 0.1)",-61982.98,-12.4,-1.98,0.88,-2.25,-2.12,0.16,-5.04,-0.15,-12.47,1502.0,0.00394,-0.02,1.2,160,0.1
"('entry_threshold', 1.6)","('lookback_window', 140)","('p-value', 0.1)",-57251.58,-11.45,-1.82,0.81,-2.26,-1.63,0.16,-3.68,-0.14,-11.53,1522.0,0.00496,-0.02,1.6,140,0.1
"('entry_threshold', 1.8)","('lookback_window', 140)","('p-value', 0.1)",-48491.3,-9.7,-1.53,0.68,-2.27,-1.46,0.16,-4.12,-0.12,-9.8,1516.0,0.00372,-0.02,1.8,140,0.1
"('entry_threshold', 1.2)","('lookback_window', 140)","('p-value', 0.05)",-50176.93,-10.04,-1.59,0.7,-2.28,-1.86,0.16,-12.5,-0.12,-10.18,1514.0,0.00127,-0.02,1.2,140,0.05
"('entry_threshold', 2.4)","('lookback_window', 60)","('p-value', 0.1)",-36567.03,-7.31,-1.14,0.47,-2.41,-1.12,0.16,-9.69,-0.09,-7.35,1601.0,0.00118,-0.01,2.4,60,0.1
"('entry_threshold', 1.8)","('lookback_window', 100)","('p-value', 0.05)",-45408.41,-9.08,-1.43,0.57,-2.52,-1.39,0.16,-7.74,-0.11,-9.08,1556.0,0.00185,-0.01,1.8,100,0.05
"('entry_threshold', 0.8)","('lookback_window', 160)","('p-value', 0.1)",-90316.63,-18.06,-2.97,1.18,-2.53,-2.55,0.16,-3.99,-0.23,-18.2,1503.0,0.00745,-0.03,0.8,160,0.1
"('entry_threshold', 1.8)","('lookback_window', 60)","('p-value', 0.05)",-49503.46,-9.9,-1.57,0.61,-2.55,-1.74,0.16,-4.37,-0.12,-10.05,1603.0,0.00359,-0.02,1.8,60,0.05
"('entry_threshold', 1.6)","('lookback_window', 100)","('p-value', 0.05)",-52570.92,-10.51,-1.67,0.65,-2.58,-1.62,0.16,-6.23,-0.13,-10.58,1555.0,0.00268,-0.02,1.6,100,0.05
"('entry_threshold', 0.8)","('lookback_window', 140)","('p-value', 0.1)",-108082.08,-21.62,-3.62,1.36,-2.66,-2.65,0.17,-7.12,-0.28,-21.65,1522.0,0.00509,-0.04,0.8,140,0.1
"('entry_threshold', 1.2)","('lookback_window', 140)","('p-value', 0.1)",-85134.79,-17.03,-2.79,1.05,-2.66,-2.42,0.16,-4.57,-0.22,-17.07,1524.0,0.0061,-0.03,1.2,140,0.1
"('entry_threshold', 1.8)","('lookback_window', 100)","('p-value', 0.1)",-72885.78,-14.58,-2.36,0.84,-2.8,-1.9,0.16,-5.65,-0.18,-14.64,1564.0,0.00417,-0.02,1.8,100,0.1
