level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 2.5)","('lookback_window', 200)","('p-value', 0.05)",-33090.3,-6.62,-1.47,1.48,-1.0,-0.34,0.22,1.8,-0.11,-6.83,925.0,-0.00818,-0.01,2.5,200,0.05
"('entry_threshold', 2.2)","('lookback_window', 200)","('p-value', 0.01)",-14220.94,-2.84,-0.62,0.62,-1.0,-0.28,0.2,-5.99,-0.05,-3.12,952.0,0.00104,-0.01,2.2,200,0.01
"('entry_threshold', 2.3)","('lookback_window', 200)","('p-value', 0.01)",-13927.12,-2.79,-0.61,0.6,-1.01,-0.26,0.2,-6.98,-0.05,-3.06,952.0,0.00087,-0.01,2.3,200,0.01
"('entry_threshold', 2.3)","('lookback_window', 180)","('p-value', 0.01)",-16171.72,-3.23,-0.71,0.68,-1.04,-0.22,0.21,-1.21,-0.06,-3.44,950.0,0.00587,-0.01,2.3,180,0.01
"('entry_threshold', 2.2)","('lookback_window', 160)","('p-value', 0.05)",-34397.63,-6.88,-1.53,1.47,-1.05,-0.41,0.19,12.8,-0.12,-8.16,966.0,-0.0012,-0.02,2.2,160,0.05
"('entry_threshold', 2.4)","('lookback_window', 200)","('p-value', 0.05)",-36697.4,-7.34,-1.64,1.53,-1.07,-0.39,0.22,2.01,-0.12,-7.55,953.0,-0.00814,-0.02,2.4,200,0.05
"('entry_threshold', 2.1)","('lookback_window', 120)","('p-value', 0.05)",-62868.67,-12.57,-2.87,2.69,-1.07,-0.57,0.18,-11.96,-0.22,-15.95,1030.0,0.0024,-0.03,2.1,120,0.05
"('entry_threshold', 2.0)","('lookback_window', 120)","('p-value', 0.05)",-72702.49,-14.54,-3.35,3.11,-1.08,-0.64,0.19,283.94,-0.25,-17.63,1032.0,-0.00012,-0.03,2.0,120,0.05
"('entry_threshold', 2.1)","('lookback_window', 200)","('p-value', 0.05)",-43401.38,-8.68,-1.95,1.81,-1.08,-0.43,0.22,2.56,-0.15,-8.85,953.0,-0.00761,-0.02,2.1,200,0.05
"('entry_threshold', 2.4)","('lookback_window', 180)","('p-value', 0.01)",-16819.91,-3.36,-0.74,0.67,-1.09,-0.22,0.22,-1.33,-0.06,-3.44,952.0,0.00556,-0.01,2.4,180,0.01
"('entry_threshold', 2.5)","('lookback_window', 180)","('p-value', 0.01)",-16815.47,-3.36,-0.74,0.67,-1.09,-0.2,0.22,-1.33,-0.06,-3.43,924.0,0.00556,-0.01,2.5,180,0.01
"('entry_threshold', 2.2)","('lookback_window', 200)","('p-value', 0.05)",-43711.22,-8.74,-1.96,1.77,-1.11,-0.43,0.22,2.22,-0.15,-8.92,953.0,-0.00883,-0.02,2.2,200,0.05
"('entry_threshold', 2.5)","('lookback_window', 100)","('p-value', 0.05)",-55086.18,-11.02,-2.5,2.23,-1.12,-0.43,0.21,-7.64,-0.19,-11.79,1034.0,0.00327,-0.03,2.5,100,0.05
"('entry_threshold', 2.3)","('lookback_window', 160)","('p-value', 0.05)",-35159.21,-7.03,-1.57,1.41,-1.12,-0.42,0.19,8.24,-0.12,-8.19,952.0,-0.0019,-0.02,2.3,160,0.05
"('entry_threshold', 2.3)","('lookback_window', 200)","('p-value', 0.05)",-38738.93,-7.75,-1.73,1.55,-1.12,-0.43,0.22,2.28,-0.13,-7.93,953.0,-0.00759,-0.02,2.3,200,0.05
"('entry_threshold', 2.0)","('lookback_window', 160)","('p-value', 0.05)",-54638.16,-10.93,-2.48,2.15,-1.15,-0.53,0.2,-18.05,-0.19,-12.28,968.0,0.00137,-0.03,2.0,160,0.05
"('entry_threshold', 2.4)","('lookback_window', 160)","('p-value', 0.05)",-32570.46,-6.51,-1.45,1.26,-1.15,-0.41,0.19,6.17,-0.11,-7.64,952.0,-0.00235,-0.01,2.4,160,0.05
"('entry_threshold', 2.4)","('lookback_window', 140)","('p-value', 0.1)",-63578.11,-12.72,-2.9,2.41,-1.2,-0.57,0.19,-2.49,-0.22,-15.17,1015.0,0.01164,-0.03,2.4,140,0.1
"('entry_threshold', 2.1)","('lookback_window', 160)","('p-value', 0.05)",-50926.37,-10.19,-2.3,1.92,-1.2,-0.5,0.2,-1393.76,-0.18,-11.49,966.0,2e-05,-0.02,2.1,160,0.05
"('entry_threshold', 2.3)","('lookback_window', 140)","('p-value', 0.1)",-70099.6,-14.02,-3.22,2.65,-1.21,-0.63,0.2,-2.55,-0.25,-16.26,1015.0,0.01263,-0.03,2.3,140,0.1
"('entry_threshold', 2.5)","('lookback_window', 140)","('p-value', 0.1)",-65023.06,-13.0,-2.97,2.2,-1.35,-0.62,0.21,-12.58,-0.23,-14.36,1015.0,0.00236,-0.03,2.5,140,0.1
"('entry_threshold', 2.5)","('lookback_window', 160)","('p-value', 0.05)",-38188.29,-7.64,-1.71,1.21,-1.41,-0.49,0.21,19.4,-0.13,-8.08,946.0,-0.00088,-0.02,2.5,160,0.05
